TurtleID,Age-class,Injured,Site,retentionTime (Fi),numberOfeventID,SSFI,SSFI group
TW01G0672,Juvenile,FALSE,Lobster,0,1,0,Low
TW01G0674,Subadult,FALSE,Lobster,0,1,0,Low
TW01G0679,Juvenile,FALSE,Dafu,0,1,0,Low
TW01G0698,Juvenile,FALSE,Dafu,0,2,0,Low
TW01G0707,Adult,FALSE,Dafu,0,1,0,Low
TW01G0714,Subadult,FALSE,Dafu,0,1,0,Low
TW01G0718,Juvenile,FALSE,Dafu,0,1,0,Low
TW01G0720,Adult,FALSE,Dafu,0,1,0,Low
TW01G0723,Juvenile,FALSE,Dafu,0,1,0,Low
TW01G0726,Subadult,FALSE,Dafu,0,1,0,Low
TW01G0727,Juvenile,FALSE,Dafu,0,1,0,Low
TW01G0728,Subadult,FALSE,Dafu,0,1,0,Low
TW01G0732,Subadult,FALSE,Dafu,0,1,0,Low
TW01G0733,Subadult,FALSE,Dafu,0,1,0,Low
TW01G0747,Juvenile,FALSE,Dafu,0,1,0,Low
TW01G0750,Juvenile,FALSE,Dafu,0,1,0,Low
TW01G0752,Juvenile,FALSE,Dafu,0,1,0,Low
TW01G0753,Juvenile,FALSE,Dafu,0,2,0,Low
TW01G0756,Subadult,FALSE,Dafu,0,1,0,Low
TW01G0774,Subadult,FALSE,Lobster,0,1,0,Low
TW01G0775,Adult,FALSE,Lobster,0,1,0,Low
TW01G0777,Subadult,FALSE,Lobster,0,1,0,Low
TW01G0778,Subadult,FALSE,Lobster,0,1,0,Low
TW01G0779,Subadult,TRUE,Lobster,0,1,0,Low
TW01G0782,Adult,FALSE,Lobster,0,1,0,Low
TW01G0784,Subadult,FALSE,Lobster,0,1,0,Low
TW01G0788,Juvenile,FALSE,Lobster,0,1,0,Low
TW01G0789,Subadult,FALSE,Lobster,0,1,0,Low
TW01G0791,Juvenile,FALSE,Lobster,0,1,0,Low
TW01G0792,Juvenile,FALSE,Lobster,0,1,0,Low
TW01G0793,Juvenile,FALSE,Lobster,0,1,0,Low
TW01G0795,Subadult,FALSE,Lobster,0,1,0,Low
TW01G0797,Unknown,FALSE,Lobster,0,1,0,Low
TW01G0798,Unknown,FALSE,Lobster,0,1,0,Low
TW01G0801,Unknown,FALSE,Lobster,0,1,0,Low
